2025-02-18 22:30:50,612 [DEBUG] views - Processing hotel: Hotel Emblem San Francisco | Location: (37.7892, -122.4098)
2025-02-18 22:30:50,612 [DEBUG] views - Processing hotel: Beacon Grand | Location: (37.7888, -122.40836)
2025-02-18 22:30:50,612 [DEBUG] views - Processing hotel: Inn at Union Square | Location: (37.78821, -122.40904)
2025-02-18 22:30:50,672 [DEBUG] views - Processing hotel: Hotel Triton | Location: (37.79034, -122.4054)
2025-02-18 22:30:50,673 [DEBUG] views - Processing hotel: Galleria Park Hotel | Location: (37.78969, -122.40345)
2025-02-18 22:30:50,673 [DEBUG] views - Processing hotel: Fairmont San Francisco | Location: (37.79238, -122.41066)
2025-02-18 22:30:50,673 [DEBUG] views - Processing hotel: Hyatt Regency San Francisco Downtown SOMA | Location: (37.7866, -122.40307)
2025-02-18 22:30:50,673 [DEBUG] views - Processing hotel: INTERCONTINENTAL MARK HOPKINS | Location: (37.7917, -122.41055)
2025-02-18 22:30:50,673 [DEBUG] views - Processing hotel: Palace Hotel a Luxury Collection Hotel San Francisco | Location: (37.78804, -122.40186)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: The Ritz-Carlton San Francisco | Location: (37.79187, -122.40716)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: Taj Campton Place San Francisco | Location: (37.78913, -122.40682)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: W San Francisco | Location: (37.7853, -122.40054)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: Hotel 32One | Location: (37.78991, -122.40557)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: The St Regis San Francisco | Location: (37.78622, -122.40138)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: Stanford Court Hotel | Location: (37.79188, -122.4095)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: Executive Hotel Vintage Court | Location: (37.79036, -122.40811)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: Cornell Hotel De France | Location: (37.79001, -122.40912)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: Palihotel San Francisco | Location: (37.78985, -122.40722)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: Orchard Garden Hotel | Location: (37.79075, -122.40521)
2025-02-18 22:30:50,674 [DEBUG] views - Processing hotel: Orchard Hotel | Location: (37.79013, -122.40849)
2025-02-18 22:30:50,762 [DEBUG] views - Processing hotel: Hotel Adagio Autograph Collection | Location: (37.78692, -122.41207)
2025-02-18 22:30:50,762 [DEBUG] views - Processing hotel: Hotel Abri | Location: (37.78533, -122.40836)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Staypineapple, An Elegant Hotel, Union Square San Francisco | Location: (37.78693, -122.41299)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Axiom Hotel | Location: (37.78483, -122.4086)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Hotel Zetta San Francisco | Location: (37.78341, -122.40706)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Courtyard by Marriott San Francisco Union Square | Location: (37.78743, -122.41433)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Calista Organic Hotel | Location: (37.78849, -122.42161)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Parc 55 San Francisco - a Hilton Hotel | Location: (37.78488, -122.40884)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Hilton San Francisco Union Square | Location: (37.78598, -122.41076)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Hotel Kabuki, part of JdV by Hyatt | Location: (37.7857, -122.42891)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Hotel Fusion | Location: (37.78549, -122.40851)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Super 8 by Wyndham San Francisco/Union Square Area | Location: (37.78593, -122.4117)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: The Marker Union Square San Francisco | Location: (37.78656, -122.4119)
2025-02-18 22:30:50,764 [DEBUG] views - Processing hotel: Mithila San Francisco, SureStay Collection by Best Western | Location: (37.78834, -122.41633)
2025-02-18 22:30:50,769 [DEBUG] views - Processing hotel: Vignette Collection Hotel Spero | Location: (37.78615, -122.41165)
2025-02-18 22:30:50,769 [DEBUG] views - Processing hotel: Becks Motor Lodge | Location: (37.76556, -122.43178)
2025-02-18 22:30:50,769 [DEBUG] views - Processing hotel: Beresford Arms Hotel | Location: (37.78736, -122.4135)
2025-02-18 22:30:50,769 [DEBUG] views - Processing hotel: Queen Anne Hotel | Location: (37.78703, -122.42662)
2025-02-18 22:30:50,769 [DEBUG] views - Processing hotel: The Hotel Majestic | Location: (37.78725, -122.42543)
2025-02-18 22:30:50,852 [DEBUG] views - Processing hotel: Best Western Red Coach Inn | Location: (37.78343, -122.41951)
2025-02-18 22:30:50,852 [DEBUG] views - Processing hotel: Courtyard by Marriott San Francisco Downtown Van Ness Ave | Location: (37.78546, -122.42118)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: San Francisco Proper a Member of Design Hotels | Location: (37.78088, -122.41268)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: Hampton Inn San Francisco Downtown/Convention Center | Location: (37.78235, -122.40795)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: Motel 6 San Francisco CA Civic Center | Location: (37.78322, -122.41738)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: SF Central Hotel | Location: (37.77223, -122.42444)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: Timbri Hotel San Francisco  Curio Collection by Hilton | Location: (37.78306, -122.40996)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: Signature San Francisco | Location: (37.77735, -122.4082)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: Rodeway Inn Civic Center | Location: (37.78286, -122.42196)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: BEI San Francisco, Trademark Collection by Wyndham | Location: (37.77764, -122.41428)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: SoMa House Hotel | Location: (37.77879, -122.41007)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: Hotel Garrett | Location: (37.77886, -122.411)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: CIVIC CENTER MOTOR INN | Location: (37.77267, -122.41087)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: Hotel Fiona | Location: (37.77865, -122.41041)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: YOTEL San Francisco | Location: (37.78034, -122.41203)
2025-02-18 22:30:50,854 [DEBUG] views - Processing hotel: San Francisco Inn | Location: (37.77276, -122.41038)
2025-02-18 22:30:51,141 [DEBUG] views - Processing hotel: Hotel Zeppelin San Francisco | Location: (37.78783, -122.41073)
2025-02-18 22:30:51,142 [DEBUG] views - Processing hotel: citizenM San Francisco Union Square | Location: (37.78578, -122.40753)
2025-02-18 22:30:51,142 [DEBUG] views - Processing hotel: The Metro Hotel | Location: (37.77279, -122.43697)
2025-02-18 22:30:51,142 [DEBUG] views - Processing hotel: Union Square Plaza Hotel | Location: (37.78718, -122.4104)
2025-02-18 22:30:51,142 [DEBUG] views - Processing hotel: Hotel G | Location: (37.7873, -122.40964)
2025-02-18 22:30:51,142 [DEBUG] views - Processing hotel: Holiday Inn Exp Union Square | Location: (37.78629, -122.40872)
2025-02-18 22:30:51,144 [DEBUG] views - Processing hotel: INTERCONTINENTAL SAN FRANCISCO | Location: (37.78208, -122.40449)
2025-02-18 22:30:51,144 [DEBUG] views - Processing hotel: Kimpton Buchanan Hotel | Location: (37.78658, -122.43019)
2025-02-18 22:30:51,144 [DEBUG] views - Processing hotel: Hotel Nikko San Francisco | Location: (37.78627, -122.40936)
2025-02-18 22:30:51,144 [DEBUG] views - Processing hotel: The Clift Royal Sonesta San Francisco | Location: (37.78699, -122.41108)
